symbol,aux,position,start_time,ss_interval,ss_lag,dss,dss_lag,dss_norm,dss_lag_norm,dss_distance,bpm
N,,14303,71.515,0.519999999999996,0.9699999999999989,-0.45000000000000284,0.4399999999999977,-0.7046698358167263,0.6890105061319023,0.9855430254789043,28.846153846154067
N,,14434,72.17,0.6550000000000011,0.519999999999996,0.13500000000000512,-0.45000000000000284,0.21140095074502457,-0.7046698358167263,0.7356969073510314,22.900763358778587
N,,14561,72.805,0.6350000000000051,0.6550000000000011,-0.01999999999999602,0.13500000000000512,-0.03131865936962585,0.21140095074502457,0.21370826001961402,23.622047244094297
N,,14741,73.705,0.8999999999999915,0.6350000000000051,0.26499999999998636,-0.01999999999999602,0.41497223664760374,-0.03131865936962585,0.41615239469817483,16.666666666666824
N,,14867,74.335,0.6299999999999955,0.8999999999999915,-0.269999999999996,0.26499999999998636,-0.4228019014900269,0.41497223664760374,0.5924216446855206,23.80952380952398
N,,14975,74.875,0.5400000000000063,0.6299999999999955,-0.0899999999999892,-0.269999999999996,-0.14093396716332746,-0.4228019014900269,0.4456723359195366,27.777777777777455
N,,15083,75.415,0.5400000000000063,0.5400000000000063,0.0,-0.0899999999999892,0.0,-0.14093396716332746,0.14093396716332746,27.777777777777455
N,,15188,75.94,0.5249999999999915,0.5400000000000063,-0.01500000000001478,0.0,-0.023488994527247207,0.0,0.023488994527247207,28.571428571429035
N,,15303,76.515,0.5750000000000028,0.5249999999999915,0.05000000000001137,-0.01500000000001478,0.078296648424098,-0.023488994527247207,0.08174410081680425,26.086956521739
N,,15420,77.1,0.5849999999999937,0.5750000000000028,0.009999999999990905,0.05000000000001137,0.015659329684801798,0.078296648424098,0.0798472276326744,25.641025641025916
N,,15525,77.625,0.5250000000000057,0.5849999999999937,-0.05999999999998806,0.009999999999990905,-0.09395597810887756,0.015659329684801798,0.09525198385636487,28.57142857142826
N,,15625,78.125,0.5,0.5250000000000057,-0.025000000000005684,-0.05999999999998806,-0.039148324212049,-0.09395597810887756,0.10178564295129043,30.0
N,,15736,78.68,0.5550000000000068,0.5,0.05500000000000682,-0.025000000000005684,0.0861263132664989,-0.039148324212049,0.09460620024866662,27.027027027026694
N,,15841,79.205,0.5249999999999915,0.5550000000000068,-0.030000000000015348,0.05500000000000682,-0.046977989054472154,0.0861263132664989,0.09810541928191943,28.571428571429035
N,,15949,79.745,0.5400000000000063,0.5249999999999915,0.01500000000001478,-0.030000000000015348,0.023488994527247207,-0.046977989054472154,0.05252298848602538,27.777777777777455
N,,16056,80.28,0.5349999999999966,0.5400000000000063,-0.005000000000009663,0.01500000000001478,-0.007829664842423152,0.023488994527247207,0.024759574217779398,28.037383177570273
N,,16172,80.86,0.5799999999999983,0.5349999999999966,0.045000000000001705,-0.005000000000009663,0.07046698358167486,-0.007829664842423152,0.07090063065054296,25.862068965517317
N,,16294,81.47,0.6099999999999994,0.5799999999999983,0.030000000000001137,0.045000000000001705,0.0469779890544499,0.07046698358167486,0.08469077417700259,24.590163934426254
N,,16411,82.055,0.585000000000008,0.6099999999999994,-0.024999999999991473,0.030000000000001137,-0.03914832421202675,0.0469779890544499,0.06115163729786779,25.64102564102529
N,,16500,82.5,0.4449999999999932,0.585000000000008,-0.14000000000001478,-0.024999999999991473,-0.21923061558744772,-0.03914832421202675,0.2226985722887806,33.70786516853984
N,,16613,83.065,0.5649999999999977,0.4449999999999932,0.12000000000000455,-0.14000000000001478,0.1879119562177996,-0.21923061558744772,0.2887437724011576,26.54867256637179
N,,16724,83.62,0.5550000000000068,0.5649999999999977,-0.009999999999990905,0.12000000000000455,-0.015659329684801798,0.1879119562177996,0.18856329944020803,27.027027027026694
N,,16825,84.125,0.5049999999999955,0.5550000000000068,-0.05000000000001137,-0.009999999999990905,-0.078296648424098,-0.015659329684801798,0.0798472276326744,29.70297029702997
N,,16936,84.68,0.5550000000000068,0.5049999999999955,0.05000000000001137,-0.05000000000001137,0.078296648424098,-0.078296648424098,0.11072818208971741,27.027027027026694
N,,17103,85.515,0.8349999999999937,0.5550000000000068,0.2799999999999869,0.05000000000001137,0.43846123117482866,0.078296648424098,0.4453971445775033,17.96407185628756
N,,17253,86.265,0.75,0.8349999999999937,-0.08499999999999375,0.2799999999999869,-0.13310430232092657,0.43846123117482866,0.4582193869094663,20.0
N,,17369,86.845,0.5799999999999983,0.75,-0.1700000000000017,-0.08499999999999375,-0.26620860464187535,-0.13310430232092657,0.2976302680872947,25.862068965517317
N,,17477,87.385,0.5400000000000063,0.5799999999999983,-0.03999999999999204,-0.1700000000000017,-0.0626373187392517,-0.26620860464187535,0.2734784358669197,27.777777777777455
N,,17584,87.92,0.5349999999999966,0.5400000000000063,-0.005000000000009663,-0.03999999999999204,-0.007829664842423152,-0.0626373187392517,0.06312477604227432,28.037383177570273
N,,17694,88.47,0.5499999999999972,0.5349999999999966,0.015000000000000568,-0.005000000000009663,0.02348899452722495,-0.007829664842423152,0.024759574217758287,27.272727272727412
N,,17803,89.015,0.5450000000000017,0.5499999999999972,-0.0049999999999954525,0.015000000000000568,-0.007829664842400899,0.02348899452722495,0.024759574217751247,27.52293577981643
N,,17920,89.6,0.5849999999999937,0.5450000000000017,0.03999999999999204,-0.0049999999999954525,0.0626373187392517,-0.007829664842400899,0.06312477604227155,25.641025641025916
N,,18036,90.18,0.5800000000000125,0.5849999999999937,-0.004999999999981242,0.03999999999999204,-0.007829664842378646,0.0626373187392517,0.0631247760422688,25.862068965516684
